id,cshapes_cntry,author_country,marker_name,marker_lat,marker_lon,marker_wkt
1670,Madagascar,Madagascar,Antananarivo,-20.9975630244,41.3247677784,POINT(41.3247677783724 -20.9975630244232)
1680,Malawi,Malawi,Lilongwe,-15.2490537707,29.9516733583,POINT(29.9516733583114 -15.2490537707253)
1690,Malaysia,Malaysia,Kuala Lumpur,3.3422510469,91.5403977861,POINT(91.5403977860733 3.3422510468709)
1700,Malta,Malta,Valletta,36.124370376,11.4733081159,POINT(11.4733081158814 36.1243703759779)
1710,Mauritius,Mauritius,Port Louis,-21.7499140307,49.6992184511,POINT(49.6992184510675 -21.7499140306686)
1720,Mexico,Mexico,Mexico City,21.525699564,-86.933284732,POINT(-86.9332847320147 21.52569956402)
1730,Moldova,Moldova,Chisinau,44.5145621639,20.4274836322,POINT(20.4274836322221 44.514562163855)
1740,Mongolia,Mongolia,Ulan Bator,45.3286416304,74.0457197574,POINT(74.0457197574002 45.3286416303591)
1750,Montenegro,Montenegro,Podgorica,41.3183375459,14.3059000236,POINT(14.30590002361 41.3183375459214)
1760,Morocco,Morocco,Rabat,34.3582863642,-5.3328859695,POINT(-5.33288596950072 34.3582863642398)
1770,Mozambique,Mozambique,Maputo,-27.3157589373,27.3103809384,POINT(27.3103809383519 -27.3157589373306)
1780,Myanmar,Myanmar,Yangon,18.8280606158,83.7252796258,POINT(83.7252796258401 18.8280606157611)
1790,Nepal,Nepal,Kathmandu,28.96622241,71.2490571951,POINT(71.2490571950902 28.9662224099728)
1800,New Zealand,New Zealand,Wellington,-40.4434938996,131.9444033043,POINT(131.944403304336 -40.4434938995784)
1810,Nicaragua,Nicaragua,Managua,13.2005541503,-76.0884487959,POINT(-76.0884487959456 13.2005541502674)
1820,Nigeria,Nigeria,Abuja,9.9436942466,6.7238370769,POINT(6.72383707690271 9.94369424657325)
1830,Niger,Nigeria,Abuja,9.9436942466,6.7238370769,POINT(6.72383707690271 9.94369424657325)
1840,United Kingdom,Northern Ireland,London,47.4921714058,-0.0580696367,POINT(-0.0580696366992273 47.4921714058009)
1850,Norway,Norway,Oslo,52.4620734624,6.0868194933,POINT(6.08681949326543 52.4620734624316)
1860,Pakistan,Pakistan,Islamabad,34.1528163459,58.3377983658,POINT(58.3377983657587 34.1528163459468)
1870,Israel,Palestinian Territories,Ramallah,32.8312277406,28.607721627,POINT(28.6077216269791 32.8312277405754)
1880,Panama,Panama,Panama City,10.0049029666,-70.9923081268,POINT(-70.9923081268473 10.0049029665978)
1890,Papua New Guinea,Papua New Guinea,Port Moresby,-10.754134761,131.5482094413,POINT(131.548209441342 -10.7541347609907)
1900,Paraguay,Paraguay,Asuncion,-25.8289665198,-48.6034706141,POINT(-48.6034706141316 -25.8289665197656)
1910,Peru,Perú,Lima,-11.9195036819,-68.5374598777,POINT(-68.5374598777084 -11.919503681871)
1920,Philippines,Philippines,Manila,16.1685062364,106.5802275656,POINT(106.580227565607 16.1685062363879)
1930,Poland,Poland,Warsaw,48.0664012661,13.6533454257,POINT(13.6533454257377 48.0664012660838)
1940,Portugal,Portugal,Lisbon,38.4700497524,7.0808000709,POINT(7.08080007094454 38.4700497523805)
1950,Romania,Romania,Bukarest,42.806235291,19.0136153368,POINT(19.013615336832 42.8062352910108)
1960,Russia,Russia,Moscow,50.8133999931,25.7100684721,POINT(25.7100684721411 50.8133999931251)
1970,Rwanda,Rwanda,Kigali,-2.128275522,27.022946175,POINT(27.0229461750034 -2.12827552199389)
1980,Saudi Arabia,Saudi Arabia,Riyadh,24.5280320984,38.5125682018,POINT(38.5125682018272 24.5280320983559)
1990,United Kingdom,Scotland,London,47.4921714058,-0.0580696367,POINT(-0.0580696366992273 47.4921714058009)
2000,Senegal,Senegal,Dakar,16.0714863739,-15.0124458379,POINT(-15.0124458379406 16.0714863739495)
2010,Serbia and Montenegro,Serbia and Montenegro,Belgrade,42.9883475527,14.7564734364,POINT(14.7564734364266 42.9883475526514)
2020,Sierra Leone,Sierra Leone,Freetown,9.2619893839,-11.5709971849,POINT(-11.5709971848757 9.26198938394463)
2030,Singapore,Singapore,Singapore City,1.4950737599,93.354344198,POINT(93.354344198016 1.49507375991425)
2040,Slovakia,Slovak Republic,Bratislava,45.4159592764,12.0374959453,POINT(12.0374959452918 45.415959276375)
2050,Slovakia,Slovakia,Bratislava,45.4159592764,12.0374959453,POINT(12.0374959452918 45.415959276375)
2060,Slovenia,Slovenia,Ljubljana,43.9132248857,10.5148685503,POINT(10.5148685502564 43.9132248857339)
2070,South Africa,South Africa,Pretoria,-26.5817225939,24.2806631625,POINT(24.280663162516 -26.5817225938729)
2080,South Korea,South Korea,Seoul,37.5273197204,98.9670905904,POINT(98.96709059043 37.5273197204056)
2090,Spain,Spain,Madrid,39.8314848023,-2.6449825068,POINT(-2.64498250683604 39.8314848022702)
2100,Sri Lanka,Sri Lanka,Colombo,7.6483898511,71.6763250866,POINT(71.6763250865542 7.64838985114238)
2110,Sudan,Sudan,Khartoum,16.474178915,28.2581388067,POINT(28.2581388066903 16.4741789150264)
2120,Sweden,Sweden,Stockholm,52.1771619008,10.561479593,POINT(10.5614795929615 52.1771619007882)
2130,Switzerland,Switzerland,Bern,44.5256401249,5.3876538527,POINT(5.38765385268787 44.5256401249398)
2140,Syria,Syria,Damascus,34.1913801864,29.2602762249,POINT(29.2602762248514 34.1913801864004)
2150,Taiwan,Taiwan,Taipei,26.3727647617,102.773659078,POINT(102.773659078019 26.3727647616998)
2160,Tanzania,Tanzania,Dodoma,-6.7547465464,31.7695040238,POINT(31.7695040238129 -6.75474654639947)
2170,Thailand,Thailand,Bangkok,15.1887105326,88.7903462665,POINT(88.7903462664684 15.188710532571)
2180,Netherlands,The Netherlands,Amsterdam,47.9962689463,3.2862726774,POINT(3.28627267739657 47.9962689463399)
2190,China,Tibet,Lhasa,32.0971327536,75.8324763944,POINT(75.8324763944317 32.0971327536427)
2200,Togo,Togo,Lome,7.0088745628,1.0994379238,POINT(1.09943792381246 7.00887456276865)
2210,Trinidad and Tobago,Trinidad,Port-of-Spain,11.7518500224,-54.6939801943,POINT(-54.6939801942736 11.7518500224494)
2220,Turkey,Turkey,Ankara,39.3525739901,25.1507359597,POINT(25.1507359596791 39.3525739901458)
2230,Uganda,Uganda,Kampala,0.3377339371,29.1670541394,POINT(29.167054139441 0.337733937099062)
2240,Ukraine,Ukraine,Kiev,46.975237976,20.7537609312,POINT(20.7537609311583 46.9752379760087)
