id,featureid,cshapes_cntry_name,author_country_name,year,author_count,cumulative_count
43257,37,Ireland,Ireland,1976,0,1
43327,223,Israel,Israel,1976,0,5
43292,143,Japan,Japan,1976,1,12
43265,42,Liberia,Liberia,1976,0,1
43312,209,Malaysia,Malaysia,1976,0,1
43250,16,Mexico,Mexico,1976,1,5
43335,79,Nigeria,Nigeria,1976,1,12
43343,182,Papua New Guinea,Papua New Guinea,1976,1,1
43344,12,Peru,Perú,1976,1,3
43277,102,Poland,Poland,1976,1,22
43314,210,Singapore,Singapore,1976,0,1
43264,196,South Africa,South Africa,1976,0,2
43293,147,South Korea,South Korea,1976,0,3
43271,122,Sri Lanka,Sri Lanka,1976,0,1
43316,202,Taiwan,Taiwan,1976,0,13
43279,109,Netherlands,The Netherlands,1976,0,1
43345,97,Turkey,Turkey,1976,1,2
43338,59,Uganda,Uganda,1976,0,2
43262,38,United Kingdom,United Kingdom,1976,0,4
43332,238,United States,United States,1976,0,3
43321,191,Yugoslavia,Yugoslavia,1976,1,7
43370,105,Belgium,Belgium,1976,0,1
43390,90,Bulgaria,Bulgaria,1976,0,1
43400,148,Cambodia,Cambodia,1976,0,1
43361,28,Costa Rica,Costa Rica,1976,0,2
43373,41,Ghana,Ghana,1976,0,1
43364,31,Honduras,Honduras,1976,0,1
43382,157,Kenya,Kenya,1976,0,1
43388,78,Niger,Nigeria,1976,1,12
43371,33,Panama,Panama,1976,0,2
43399,146,Philippines,Philippines,1976,0,7
43395,117,Romania,Romania,1976,0,12
43366,66,Sweden,Sweden,1976,0,2
43350,3,Venezuela,Venezuela,1976,0,2
43394,152,Vietnam,Vietnam,1976,0,1
43439,6,Argentina,Argentina,1977,1,15
43449,139,Bangladesh,Bangladesh,1977,0,1
43410,17,Barbados,Barbados,1977,0,1
43412,27,Colombia,Colombia,1977,0,4
43435,100,Denmark,Denmark,1977,1,1
43470,195,Ethiopia,Ethiopia,1977,0,3
43437,106,France,France,1977,0,5
43467,188,Germany Federal Republic,Germany,1977,0,4
43434,94,Greece,Greece,1977,0,5
43477,203,China,Hong Kong,1977,1,7
43445,129,Iran,Iran,1977,0,2
43416,37,Ireland,Ireland,1977,0,1
43451,143,Japan,Japan,1977,0,12
43424,42,Liberia,Liberia,1977,0,1
43409,16,Mexico,Mexico,1977,1,6
43436,102,Poland,Poland,1977,0,22
43473,210,Singapore,Singapore,1977,0,1
43423,196,South Africa,South Africa,1977,0,2
43452,147,South Korea,South Korea,1977,0,3
43430,122,Sri Lanka,Sri Lanka,1977,1,2
43475,202,Taiwan,Taiwan,1977,0,13
43421,38,United Kingdom,United Kingdom,1977,0,4
43530,105,Belgium,Belgium,1977,0,1
43499,8,Brazil,Brazil,1977,0,11
43560,148,Cambodia,Cambodia,1977,0,1
43500,9,Chile,Chile,1977,0,7
43521,28,Costa Rica,Costa Rica,1977,0,2
43501,10,Ecuador,Ecuador,1977,0,1
43487,225,Egypt,Egypt,1977,1,2
43524,31,Honduras,Honduras,1977,0,1
43502,101,Hungary,Hungary,1977,1,9
43488,227,India,India,1977,2,8
43483,212,Indonesia,Indonesia,1977,2,13
43486,223,Israel,Israel,1977,1,6
43542,157,Kenya,Kenya,1977,0,1
43548,78,Niger,Nigeria,1977,0,12
43495,79,Nigeria,Nigeria,1977,0,12
43531,33,Panama,Panama,1977,0,2
43503,182,Papua New Guinea,Papua New Guinea,1977,1,2
43504,12,Peru,Perú,1977,1,4
43559,146,Philippines,Philippines,1977,2,9
43514,44,Portugal,Portugal,1977,0,1
43555,117,Romania,Romania,1977,2,14
43526,66,Sweden,Sweden,1977,0,2
43493,159,Tanzania,Tanzania,1977,0,1
43505,97,Turkey,Turkey,1977,0,2
43498,59,Uganda,Uganda,1977,1,3
43510,3,Venezuela,Venezuela,1977,0,2
43554,152,Vietnam,Vietnam,1977,0,1
43480,191,Yugoslavia,Yugoslavia,1977,1,8
43607,134,Afghanistan,Afghanistan,1978,0,1
43599,6,Argentina,Argentina,1978,2,17
43570,17,Barbados,Barbados,1978,0,1
43595,100,Denmark,Denmark,1978,0,1
43597,106,France,France,1978,1,6
43575,36,Iceland,Iceland,1978,0,1
43605,129,Iran,Iran,1978,1,3
43576,37,Ireland,Ireland,1978,1,2
43584,42,Liberia,Liberia,1978,0,1
43596,102,Poland,Poland,1978,2,24
43583,196,South Africa,South Africa,1978,1,3
43590,122,Sri Lanka,Sri Lanka,1978,0,2
43581,38,United Kingdom,United Kingdom,1978,0,4
48841,105,Belgium,Belgium,2006,0,5
43692,105,Belgium,Belgium,1978,0,1
43659,8,Brazil,Brazil,1978,1,12
43712,90,Bulgaria,Bulgaria,1978,1,2
43722,148,Cambodia,Cambodia,1978,0,1
43660,9,Chile,Chile,1978,0,7
43661,10,Ecuador,Ecuador,1978,0,1
43647,225,Egypt,Egypt,1978,0,2
43630,195,Ethiopia,Ethiopia,1978,0,3
43627,188,Germany Federal Republic,Germany,1978,2,6
43695,41,Ghana,Ghana,1978,1,2
43686,31,Honduras,Honduras,1978,0,1
43637,203,China,Hong Kong,1978,1,8
43648,227,India,India,1978,1,9
43643,212,Indonesia,Indonesia,1978,1,14
43646,223,Israel,Israel,1978,0,6
43611,143,Japan,Japan,1978,1,13
43704,157,Kenya,Kenya,1978,0,1
43631,209,Malaysia,Malaysia,1978,0,2
43655,79,Nigeria,Nigeria,1978,0,12
43645,223,Israel,Palestinian Territories,1978,1,2
43693,33,Panama,Panama,1978,0,2
43665,12,Peru,Perú,1978,1,5
43721,146,Philippines,Philippines,1978,1,10
43676,44,Portugal,Portugal,1978,0,1
43717,117,Romania,Romania,1978,1,15
43633,210,Singapore,Singapore,1978,1,2
43612,147,South Korea,South Korea,1978,1,4
43688,66,Sweden,Sweden,1978,0,2
43635,202,Taiwan,Taiwan,1978,2,15
43653,159,Tanzania,Tanzania,1978,0,1
43715,151,Thailand,Thailand,1978,1,1
